params,mean_rmse,std_rmse,scores
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.22335077689924,0.6823067840156384,[70.47819506 68.53059601 69.13111354 68.71068276 69.26616651]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.22335077689924,0.6823067840156384,[70.47819506 68.53059601 69.13111354 68.71068276 69.26616651]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.2725151292409,0.6059831252888089,[63.41440015 61.99239678 62.35378654 61.76603479 61.83595738]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.2725151292409,0.6059831252888089,[63.41440015 61.99239678 62.35378654 61.76603479 61.83595738]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.2725151292409,0.6059831252888089,[63.41440015 61.99239678 62.35378654 61.76603479 61.83595738]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.04363448417001,0.6976703648593182,[59.38095093 57.74204541 58.04248993 57.62423669 57.42844945]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.04363448417001,0.6976703648593182,[59.38095093 57.74204541 58.04248993 57.62423669 57.42844945]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.04363448417001,0.6976703648593182,[59.38095093 57.74204541 58.04248993 57.62423669 57.42844945]
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.11383619647893,0.7283093812095924,[63.44835901 61.29419429 62.13673825 62.00968545 61.68020398]
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.11383619647893,0.7283093812095924,[63.44835901 61.29419429 62.13673825 62.00968545 61.68020398]
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.11383619757389,0.7283093799773073,[63.44835901 61.2941943  62.13673825 62.00968545 61.68020398]
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",53.553304388832956,0.7939232317648198,[55.04236868 53.14990127 53.44436373 53.44088588 52.68900239]
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",53.553304388832956,0.7939232317648198,[55.04236868 53.14990127 53.44436373 53.44088588 52.68900239]
"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",53.55330438081164,0.7939232358405557,[55.04236868 53.14990123 53.44436373 53.44088588 52.68900239]
